qusetion_num,n_dim,size_pop,max_iter,alpha,beta,rho,solution,time
4,28,50,200,1,2,0.1,4,33.35727120000229
4,28,50,200,1,2,0.1,4,36.38361949999671
4,28,50,200,1,2,0.1,4,33.70693539999775
4,28,50,200,1,2,0.1,4,32.85875319999468
4,28,50,200,1,2,0.1,4,34.878600399999414
