qusetion_num,T_max,T_min,L,max_stay_counter,solution,time
1,1,1e-09,300,150,6,0.32136950000131037
1,1,1e-09,300,150,2,0.3137884999960079
1,1,1e-09,300,150,3,0.32446490000438644
1,1,1e-09,300,150,1,0.3161289999989094
1,1,1e-09,300,150,3,0.34312189999764087
