qusetion_num,T_max,T_min,L,max_stay_counter,solution,time
3,1,1e-09,300,150,40,2.1674595000004047
3,1,1e-09,300,150,38,1.9970778999995673
3,1,1e-09,300,150,47,2.0576832000006107
3,1,1e-09,300,150,45,2.02535650000209
3,1,1e-09,300,150,39,2.0297632000001613
