qusetion_num,n_dim,size_pop,max_iter,max_try_num,step,visual,q,delta,solution,time
2,28,50,100,100,1,3,0.98,0.5,7,52.017228700002306
2,28,50,100,100,1,3,0.98,0.5,7,61.25088890000188
2,28,50,100,100,1,3,0.98,0.5,7,56.99704410000413
2,28,50,100,100,1,3,0.98,0.5,7,55.50471950000065
2,28,50,100,100,1,3,0.98,0.5,7,50.82744660000026
