qusetion_num,n_dim,size_pop,max_iter,max_try_num,step,visual,q,delta,solution,time
3,84,50,100,100,1,3,0.98,0.5,12,113.71378289999848
3,84,50,100,100,1,3,0.98,0.5,14,134.03226240000367
3,84,50,100,100,1,3,0.98,0.5,12,122.56932770000276
3,84,50,100,100,1,3,0.98,0.5,12,120.28343410000525
3,84,50,100,100,1,3,0.98,0.5,14,108.58496569999988
