qusetion_num,gene_size,num_generations,prob_mut,size_pop,solution,time
4,28,600,"(0.01,)",106,4.0,18.353893499996047
4,28,600,"(0.01,)",106,4.0,18.225703600000998
4,28,600,"(0.01,)",106,4.0,17.936278699999093
4,28,600,"(0.01,)",106,4.0,19.430902699998114
4,28,600,"(0.01,)",106,4.0,19.396664100000635
4,28,600,"(0.01,)",106,4.0,17.690935400001763
4,28,600,"(0.01,)",106,4.0,21.40200979999645
4,28,600,"(0.01,)",106,4.0,20.554905700002564
4,28,600,"(0.01,)",106,4.0,18.315496900002472
4,28,600,"(0.01,)",106,4.0,19.393317399997613
4,28,600,"(0.01,)",106,4.0,18.97432480000134
4,28,600,"(0.01,)",106,4.0,19.17167750000226
4,28,600,"(0.01,)",106,4.0,18.908918899993296
4,28,600,"(0.01,)",106,4.0,19.14826449999964
4,28,600,"(0.01,)",106,4.0,18.97698769999988
