qusetion_num,gene_size,num_generations,prob_mut,size_pop,solution,time
3,84,600,"(0.01,)",184,16.0,15.236442100002023
3,84,600,"(0.01,)",184,15.0,15.146571199999016
3,84,600,"(0.01,)",184,12.0,14.766562500000873
3,84,600,"(0.01,)",184,15.0,16.100822999993397
3,84,600,"(0.01,)",184,16.0,16.44020189999719
3,84,600,"(0.01,)",184,15.0,14.717361100003473
3,84,600,"(0.01,)",184,14.0,17.849448199995095
3,84,600,"(0.01,)",184,15.0,17.04243729999871
3,84,600,"(0.01,)",184,15.0,15.016877100002603
3,84,600,"(0.01,)",184,16.0,15.799220699998841
3,84,600,"(0.01,)",184,15.0,15.761958900002355
3,84,600,"(0.01,)",184,15.0,15.835873700001684
3,84,600,"(0.01,)",184,15.0,15.771235199994408
3,84,600,"(0.01,)",184,15.0,15.897042199998396
3,84,600,"(0.01,)",184,15.0,15.473274500000116
