qusetion_num,gene_size,num_generations,prob_mut,size_pop,solution,time
6,210,600,"(0.01,)",290,4.0,204.91433069999766
6,210,600,"(0.01,)",290,3.0,205.10123939999903
6,210,600,"(0.01,)",290,4.0,209.30050140000094
6,210,600,"(0.01,)",290,4.0,205.18582649999735
6,210,600,"(0.01,)",290,4.0,217.5377601
6,210,600,"(0.01,)",290,3.0,222.1601407000053
6,210,600,"(0.01,)",290,4.0,228.32309449999593
6,210,600,"(0.01,)",290,3.0,217.78147360000003
6,210,600,"(0.01,)",290,3.0,213.90869620000012
6,210,600,"(0.01,)",290,3.0,214.00078400000348
6,210,600,"(0.01,)",290,4.0,217.28576949999842
6,210,600,"(0.01,)",290,3.0,216.78858469999977
6,210,600,"(0.01,)",290,3.0,216.22374399999535
6,210,600,"(0.01,)",290,3.0,215.58814540000458
6,210,600,"(0.01,)",290,4.0,216.91768410000077
