qusetion_num,gene_size,num_generations,prob_mut,size_pop,solution,time
5,84,600,"(0.01,)",184,3.0,39.151961700001266
5,84,600,"(0.01,)",184,3.0,40.869013199997426
5,84,600,"(0.01,)",184,3.0,39.377363100000366
5,84,600,"(0.01,)",184,3.0,40.367708699996
5,84,600,"(0.01,)",184,3.0,39.64676669999608
5,84,600,"(0.01,)",184,3.0,37.94844240000384
5,84,600,"(0.01,)",184,3.0,45.353674999998475
5,84,600,"(0.01,)",184,3.0,46.30801950000023
5,84,600,"(0.01,)",184,3.0,38.57614289999765
5,84,600,"(0.01,)",184,3.0,41.68962360000296
5,84,600,"(0.01,)",184,3.0,40.38990080000076
5,84,600,"(0.01,)",184,3.0,40.67179720000422
5,84,600,"(0.01,)",184,3.0,40.43203419999918
5,84,600,"(0.01,)",184,3.0,40.606319900005474
5,84,600,"(0.01,)",184,3.0,40.64919540000119
